146,115,1
47,0,1
-59,254,0
-87,231,1
-120,94,0
4,175,0
234,67,0
0,0,1
0,184,1
144,110,1
222,135,0
-226,39,1
97,238,0
0,0,0
-7,252,0
-237,1,0
127,123,0
9,17,1
118,140,0
198,-2,0
59,176,0
48,61,1
18,4,1
111,482,0
0,173,1
2,175,1
234,-2,1
23,6,1
-60,184,1
111,31,0
170,213,1
-182,192,0
-147,224,1
114,134,0
2,80,1
23,37,0
-144,26,0
92,78,0
127,242,0
24,12,1
-7,14,1
10,3,1
-155,12,1
54,148,1
159,86,1
91,19,0
144,3,0
-5,242,1
39,28,0
140,6,0
144,22,0
